name,url,duration,test_type,remote_support,adaptive_support,combined_text
Store Manager 7.1 (International),https://www.shl.com/products/product-catalog/view/store-manager-7-1-%28international%29/,0,[],No,No,Store Manager 7.1 (International) []
Store Manager Solution,https://www.shl.com/products/product-catalog/view/store-manager-solution/,0,[],No,No,Store Manager Solution []
Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/supervisor-short-form/,0,[],No,No,Supervisor - Short Form []
Supervisor 7.0 Solution,https://www.shl.com/products/product-catalog/view/supervisor-7-0-solution/,0,[],No,No,Supervisor 7.0 Solution []
Supervisor 7.1 (Americas),https://www.shl.com/products/product-catalog/view/supervisor-7-1-%28americas%29/,0,[],No,No,Supervisor 7.1 (Americas) []
Supervisor 7.1 (International),https://www.shl.com/products/product-catalog/view/supervisor-7-1-%28international%29/,0,[],No,No,Supervisor 7.1 (International) []
Support Associate Solution,https://www.shl.com/products/product-catalog/view/support-associate-solution/,0,[],No,No,Support Associate Solution []
Support Supervisor Solution,https://www.shl.com/products/product-catalog/view/support-supervisor-solution/,0,[],No,No,Support Supervisor Solution []
Technical Sales Associate Solution,https://www.shl.com/products/product-catalog/view/technical-sales-associate-solution/,0,[],No,No,Technical Sales Associate Solution []
Technician/Technologist Solution,https://www.shl.com/products/product-catalog/view/techniciantechnologist-solution/,0,[],No,No,Technician/Technologist Solution []
Technology Professional 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/,0,[],No,No,Technology Professional 8.0 Job Focused Assessment []
Telenurse Solution,https://www.shl.com/products/product-catalog/view/telenurse-solution/,0,[],No,No,Telenurse Solution []
Teller 7.0,https://www.shl.com/products/product-catalog/view/teller-7-0/,0,[],No,No,Teller 7.0 []
